Model,11700intel,11700openblas,amd4500Uopenblas,10700intel,10700openblas,1135g7openblas,1135g7intel_cold,1135g7intel
AverageValueNaive,38.132693,113.646858,88.21443499999998,38.730987000000006,119.93524900000001,118.380062,35.574207,36.444279
DatepartRegression,25.024192,56.359717999999994,54.397382,26.509558000000002,59.904639,56.22348199999999,17.825843,18.093907
Ensemble,360.102261,346.940645,661.2799890000001,441.633068,421.08269899999993,478.05058600000007,538.8745940000001,563.9237830000001
GLM,35.933015,50.568200000000004,60.08312999999999,40.802984,56.617604,61.65866200000001,38.442134,40.36499300000001
GLS,7.168278000000001,2.0421709999999997,3.0030010000000003,9.487519,2.616793,3.2211290000000004,2.651293,2.60701
GluonTS,912.3988380000001,904.6198360000002,1385.8799760000004,1096.0174500000003,1088.8572580000002,1050.2519069999998,1182.5384220000003,1203.207225
LastValueNaive,29.654935000000002,83.82204100000001,66.12184599999999,28.908971999999995,89.04443400000002,75.89704500000002,25.761983999999998,26.208308000000006
RollingRegression,1452.9040639999998,688.5957300000001,1018.6028069999999,1617.188873,874.201395,1107.9585769999999,542.984939,540.506395
SeasonalNaive,157.37994000000003,197.46895800000001,169.156419,179.46689800000004,225.42265000000006,166.25184000000004,141.75822200000002,143.46484700000002
VAR,83.36631399999999,79.053867,37.35413500000001,86.413556,81.273885,39.669532999999994,18.912743,22.105690000000003
VECM,15.244081000000001,13.399563000000004,8.903357000000002,16.363640000000004,8.6131,15.511208000000003,6.8160060000000025,7.059547
WindowRegression,1237.76341,1527.799672,1573.761509,1454.729942,1883.5664900000002,1720.2537440000006,1123.2845459999999,1147.035392
ZeroesNaive,30.968532000000003,86.91033800000001,85.06438700000001,30.793951999999997,92.536933,87.17244000000001,27.973227,28.898978000000007
